"value_n","timestamp","key"
34.36154,2020-04-08 14:53:04,HouseAir_5Min_KMAnamoly
37.904312,2020-04-08 14:53:04,HouseAir_5Min_KMAnamoly
53.512238,2020-04-08 14:53:05,HouseAir_5Min_KMAnamoly
62.06498,2020-04-08 14:53:05,HouseAir_5Min_KMAnamoly
47.6907,2020-04-08 14:53:05,HouseAir_5Min_KMAnamoly
44.826817,2020-04-08 14:53:06,HouseAir_5Min_KMAnamoly
48.87346,2020-04-08 14:53:06,HouseAir_5Min_KMAnamoly
42.64808,2020-04-08 14:53:07,HouseAir_5Min_KMAnamoly
18.256575,2020-04-08 14:53:07,HouseAir_5Min_KMAnamoly
41.641174,2020-04-08 14:53:07,HouseAir_5Min_KMAnamoly
34.339565,2020-04-08 14:53:07,HouseAir_5Min_KMAnamoly
33.527397,2020-04-08 14:53:19,HouseAir_5Min_KMAnamoly
50.79794,2020-04-08 14:53:28,HouseAir_5Min_KMAnamoly
83.71062,2020-04-08 14:53:30,HouseAir_5Min_KMAnamoly
51.352818,2020-04-08 14:53:32,HouseAir_5Min_KMAnamoly
39.44682,2020-04-08 14:53:32,HouseAir_5Min_KMAnamoly
33.99281,2020-04-08 14:53:34,HouseAir_5Min_KMAnamoly
31.70379,2020-04-08 14:53:34,HouseAir_5Min_KMAnamoly
45.1958,2020-04-08 14:53:35,HouseAir_5Min_KMAnamoly
44.427883,2020-04-08 14:53:35,HouseAir_5Min_KMAnamoly
46.53379,2020-04-08 14:53:36,HouseAir_5Min_KMAnamoly
47.477833,2020-04-08 14:53:37,HouseAir_5Min_KMAnamoly
48.165127,2020-04-08 14:53:38,HouseAir_5Min_KMAnamoly
34.066425,2020-04-08 14:53:38,HouseAir_5Min_KMAnamoly
37.355415,2020-04-08 14:53:38,HouseAir_5Min_KMAnamoly
21.386261,2020-04-08 14:53:39,HouseAir_5Min_KMAnamoly
27.235527,2020-04-08 14:53:39,HouseAir_5Min_KMAnamoly
23.819511,2020-04-08 14:53:40,HouseAir_5Min_KMAnamoly
34.56789,2020-04-08 14:53:41,HouseAir_5Min_KMAnamoly
43.012283,2020-04-08 14:53:42,HouseAir_5Min_KMAnamoly
35.08162,2020-04-08 14:53:42,HouseAir_5Min_KMAnamoly
24.624176,2020-04-08 14:53:42,HouseAir_5Min_KMAnamoly
30.356514,2020-04-08 14:53:44,HouseAir_5Min_KMAnamoly
23.300234,2020-04-08 14:53:44,HouseAir_5Min_KMAnamoly
41.182503,2020-04-08 14:53:44,HouseAir_5Min_KMAnamoly
50.17757,2020-04-08 14:53:45,HouseAir_5Min_KMAnamoly
25.319178,2020-04-08 14:53:45,HouseAir_5Min_KMAnamoly
41.85199,2020-04-08 14:53:46,HouseAir_5Min_KMAnamoly
35.224827,2020-04-08 14:53:48,HouseAir_5Min_KMAnamoly
45.286346,2020-04-08 14:53:48,HouseAir_5Min_KMAnamoly
24.897818,2020-04-08 14:53:48,HouseAir_5Min_KMAnamoly
31.203142,2020-04-08 14:53:49,HouseAir_5Min_KMAnamoly
34.01053,2020-04-08 14:53:52,HouseAir_5Min_KMAnamoly
37.235073,2020-04-08 14:53:56,HouseAir_5Min_KMAnamoly
0,2020-04-08 14:52:22,HouseAir_5Min_KMAnamoly
0,2020-04-08 14:53:06,HouseAir_5Min_KMAnamoly
0,2020-04-08 14:54:06,HouseAir_5Min_KMAnamoly
42.644672,2020-04-08 14:54:18,HouseAir_5Min_KMAnamoly
31.016397,2020-04-08 14:54:19,HouseAir_5Min_KMAnamoly
12.49454,2020-04-08 14:54:21,HouseAir_5Min_KMAnamoly
13.386064,2020-04-08 14:54:25,HouseAir_5Min_KMAnamoly
16.477716,2020-04-08 14:54:25,HouseAir_5Min_KMAnamoly
21.097654,2020-04-08 14:54:25,HouseAir_5Min_KMAnamoly
5.99698,2020-04-08 14:54:29,HouseAir_5Min_KMAnamoly
