datetime,ROWID,AmbientTemperature_C,Inverter_Temperature_C,PanelTemperature_C,GlobalTiltedIrradiance_wm2,GlobalHorizontalIrradiance_wm2,Power_kW,Voltage_volt,Current_amp
28/05/2020 10:05,109,44.97851563,54.47998047,51.53027344,994.390625,1068.84375,393.109375,680.5703125,577.890625
28/05/2020 10:10,110,44.79345703,54.81347656,52.08447266,994.5078125,1068.859375,393.4921875,680.3203125,577.4375
28/05/2020 10:15,111,44.26416016,54.99951172,51.36181641,994.15625,1067.953125,393.2460938,680.703125,576.8359375
28/05/2020 10:20,112,44.14208984,55,51.31884766,993.3125,1065.828125,393.4101563,680.8359375,577.734375
28/05/2020 10:25,113,43.66113281,55,50.14941406,992.515625,1063.671875,393.4726563,679.0703125,579.421875
28/05/2020 10:30,114,43.90771484,55,50.62011719,991.671875,1061.359375,393.53125,676.2265625,581.03125
28/05/2020 10:35,115,43.25292969,55,49.69287109,990.71875,1059.78125,393.0976563,673.6875,582.171875
28/05/2020 10:40,116,43.59130859,55,50.08691406,989.375,1058.125,393.0742188,671.0625,583.65625
28/05/2020 10:45,117,43.00537109,55,49.50488281,987.640625,1055.84375,392.7890625,669.8359375,584.6015625
28/05/2020 10:50,118,43.49462891,55,50.09277344,985.65625,1051.859375,392.9453125,668.3671875,586.3515625
28/05/2020 10:55,119,43.04345703,55,49.33544922,983.40625,1046.78125,392.5234375,667.5078125,587.875
28/05/2020 11:00,120,42.91162109,55,48.99755859,981.0234375,1042.5,392.7695313,665.515625,589.265625
28/05/2020 11:05,121,42.25732422,55,48.06201172,978.1875,1039.21875,392.3867188,664.3984375,589.171875
28/05/2020 11:10,122,42.21826172,55,48.23583984,975.296875,1037.03125,392.2109375,663.71875,590.1640625
28/05/2020 11:15,123,42.5234375,55,48.56884766,972.5625,1035.28125,391.9296875,663.859375,591.546875
28/05/2020 11:20,124,42.8203125,55,48.86132813,970.2734375,1033.34375,392.3515625,663.0703125,593.3125
28/05/2020 11:25,125,42.97216797,55,49,968.484375,1031.703125,392.8359375,662.234375,593.8046875
28/05/2020 11:30,126,43,55,49,966.7890625,1029.921875,393.5976563,661.203125,594.5703125
28/05/2020 11:35,127,43,55.11865234,49.19873047,964.953125,1027.71875,393.625,661.6875,593.5859375
28/05/2020 11:40,128,43.22412109,55.45166016,49.53173828,963.296875,1026.5625,393.4023438,664.140625,591.6796875
28/05/2020 11:45,129,43.55761719,55.78515625,49.86523438,961.8125,1024.078125,393.1679688,664.3125,591.8203125
28/05/2020 11:50,130,44.17236328,56,50.22558594,960.703125,1021.46875,393.3632813,660.1015625,595.828125
28/05/2020 11:55,131,44.61425781,56.00292969,50.53417969,959.5,1016.757813,393.9296875,655.078125,599.5703125
28/05/2020 12:00,132,44.94775391,56.24755859,50.8671875,958.234375,1012.15625,394.1328125,653.9140625,600.5859375
28/05/2020 12:05,133,45,56.58105469,51.07080078,957.1953125,1008.945313,394.3320313,654.453125,599.078125
28/05/2020 12:10,134,45,56.91113281,51.15771484,955.875,1006.46875,394.3710938,655.5390625,598.578125
28/05/2020 12:15,135,45,57,51.15771484,954.6484375,1006.140625,394.3359375,659.5859375,595.5
28/05/2020 12:20,136,45,57,51.06201172,953.5703125,1007.234375,393.9101563,667.515625,591.0859375
28/05/2020 12:25,137,45,57,51,953.3203125,1010.492188,393.4960938,672.046875,587.796875
28/05/2020 12:30,138,45,57,51,953.703125,1011.960938,393.390625,669.4453125,589.078125
28/05/2020 12:35,139,45.06103516,57,51.26708984,954,1011.640625,393.984375,665.1328125,592.0234375
28/05/2020 12:40,140,45.21728516,57,51.33154297,954.4453125,1011.671875,394.0976563,667.0390625,590.953125
28/05/2020 12:45,141,45.39160156,57,51.46679688,955.0546875,1013.859375,393.6953125,670.171875,589.40625
28/05/2020 12:50,142,45.64208984,57,51.42041016,956.109375,1018.25,393.5195313,673.0390625,586.2890625
28/05/2020 12:55,143,45.81933594,57.05371094,51.80908203,957.125,1021.554688,393.4296875,671.96875,586.875
28/05/2020 13:00,144,45.97802734,57.36816406,52.34082031,957.9609375,1023.1875,393.8828125,671.0546875,587.515625
28/05/2020 13:05,145,46,57.70166016,52.48925781,958.734375,1022.5,393.7773438,669.40625,589.2265625
28/05/2020 13:10,146,46,57.98095703,52.53222656,959.4609375,1021.484375,393.8867188,668.1796875,590.140625
28/05/2020 13:15,147,46,58,52.19921875,960.078125,1020.3125,393.8476563,666.9921875,590.859375
28/05/2020 13:20,148,46,58,52.22265625,960.203125,1018.101563,393.7539063,665.2734375,592.890625
28/05/2020 13:25,149,46,58,52.26904297,960.875,1016.078125,393.6875,661.9375,595.3203125
28/05/2020 13:30,150,46,58,52.60205078,962.0078125,1015.15625,393.7773438,659.2109375,597.046875
28/05/2020 13:35,151,46,58,52.73242188,963.609375,1014.992188,393.8710938,655.96875,599.4609375
28/05/2020 13:40,152,46,58,52.83789063,964.9140625,1013.578125,394.0703125,654.96875,600.0078125
28/05/2020 13:45,153,46,58,52.74609375,965.9921875,1011.632813,393.8125,654.9609375,599.171875
28/05/2020 13:50,154,46.01660156,58,52.60595703,967.8671875,1010.632813,393.8554688,654.953125,598.8671875
28/05/2020 13:55,155,46.23486328,58,52.71582031,968.8046875,1009.601563,393.3828125,652.8125,600.6875
28/05/2020 14:00,156,46.56835938,58,53.10253906,966.9765625,1007.578125,393.3828125,648.96875,606
28/05/2020 14:05,157,46.88427734,58.13574219,53.42333984,964.515625,1007.078125,392.8007813,648.1640625,607.640625
28/05/2020 14:10,158,46.94824219,58.46923828,53.43066406,965.4453125,1010.132813,393.1757813,649.0859375,607.578125
28/05/2020 14:15,159,46.94873047,58.80224609,53.20263672,966.171875,1011.875,393.6171875,649.734375,607.2890625
28/05/2020 14:20,160,46.97119141,59,53.19628906,968.7421875,1013.773438,394.2304688,648.21875,608.4921875
28/05/2020 14:25,161,47.18261719,59,53.31494141,970.046875,1013.414063,394.296875,646.4609375,610
