"houseair","rcv_timestamp_utc"
98.435032,2020-04-08 14:52:21
96.039373,2020-04-08 14:52:21
97.732379,2020-04-08 14:52:22
96.000644,2020-04-08 14:52:23
99.176414,2020-04-08 14:52:30
96.880343,2020-04-08 14:52:31
97.018661,2020-04-08 14:52:31
97.228903,2020-04-08 14:52:32
95.270328,2020-04-08 14:52:32
96.199821,2020-04-08 14:52:33
94.362965,2020-04-08 14:52:33
97.378286,2020-04-08 14:52:34
96.509652,2020-04-08 14:52:35
93.997807,2020-04-08 14:52:35
98.108603,2020-04-08 14:52:36
98.241388,2020-04-08 14:52:54
95.712944,2020-04-08 14:52:56
98.114135,2020-04-08 14:52:57
95.834663,2020-04-08 14:53:00
99.143218,2020-04-08 14:51:46
94.739188,2020-04-08 14:51:46
99.12662,2020-04-08 14:51:47
96.780755,2020-04-08 14:51:48
98.971704,2020-04-08 14:51:49
95.701878,2020-04-08 14:51:49
92.542707,2020-04-08 14:51:50
97.798772,2020-04-08 14:51:50
93.743302,2020-04-08 14:51:51
96.990997,2020-04-08 14:51:52
98.556751,2020-04-08 14:51:52
98.518023,2020-04-08 14:51:53
99.480712,2020-04-08 14:52:07
99.049162,2020-04-08 14:52:11
98.130734,2020-04-08 14:52:12
97.903893,2020-04-08 14:52:13
98.396303,2020-04-08 14:52:17
98.30778,2020-04-08 14:52:17
96.144494,2020-04-08 14:52:20
96.111298,2020-04-08 14:52:20
96.105765,2020-04-08 14:52:21
97.660454,2020-04-08 14:52:22
96.144494,2020-04-08 14:52:22
99.242806,2020-04-08 14:52:23
99.502843,2020-04-08 14:52:30
99.646693,2020-04-08 14:52:30
93.898218,2020-04-08 14:52:31
96.681166,2020-04-08 14:52:32
92.813809,2020-04-08 14:52:32
97.179109,2020-04-08 14:52:33
92.885734,2020-04-08 14:52:34
94.70046,2020-04-08 14:52:34
97.096119,2020-04-08 14:52:35
98.219257,2020-04-08 14:52:36
99.856936,2020-04-08 14:52:54
95.867859,2020-04-08 14:52:56
98.529088,2020-04-08 14:52:57
96.930138,2020-04-08 14:51:48
99.170881,2020-04-08 14:51:48
99.06576,2020-04-08 14:51:49
96.592643,2020-04-08 14:51:49
92.658893,2020-04-08 14:51:50
98.778059,2020-04-08 14:51:50
99.436451,2020-04-08 14:51:51
95.27586,2020-04-08 14:51:51
98.529088,2020-04-08 14:51:52
98.650807,2020-04-08 14:51:52
98.412901,2020-04-08 14:52:12
98.003481,2020-04-08 14:52:13
98.556751,2020-04-08 14:52:17
98.446097,2020-04-08 14:52:17
97.566398,2020-04-08 14:52:21
96.908007,2020-04-08 14:52:22
96.786287,2020-04-08 14:52:22
96.376868,2020-04-08 14:52:22
98.036678,2020-04-08 14:52:23
99.14875,2020-04-08 14:52:30
99.978655,2020-04-08 14:52:30
94.600871,2020-04-08 14:52:31
97.107184,2020-04-08 14:52:32
94.102928,2020-04-08 14:52:32
96.426662,2020-04-08 14:52:33
93.433471,2020-04-08 14:52:33
93.239827,2020-04-08 14:52:34
98.152864,2020-04-08 14:52:35
96.99653,2020-04-08 14:52:35
97.804304,2020-04-08 14:52:36
98.883181,2020-04-08 14:52:57
98.257986,2020-04-08 14:52:57
98.025612,2020-04-08 14:53:01
96.249616,2020-04-08 14:53:04
95.923186,2020-04-08 14:53:04
94.9273,2020-04-08 14:53:05
97.682585,2020-04-08 14:53:05
95.912121,2020-04-08 14:51:50
93.82076,2020-04-08 14:51:51
98.208191,2020-04-08 14:51:52
98.224789,2020-04-08 14:52:08
98.501424,2020-04-08 14:52:12
97.798772,2020-04-08 14:52:15
98.816788,2020-04-08 14:52:21
96.327073,2020-04-08 14:52:21
97.212305,2020-04-08 14:52:22
123.343247,2020-04-08 14:52:22
97.267632,2020-04-08 14:52:23
99.292601,2020-04-08 14:52:30
99.917796,2020-04-08 14:52:30
95.668682,2020-04-08 14:52:31
97.14038,2020-04-08 14:52:32
94.921768,2020-04-08 14:52:32
94.396161,2020-04-08 14:52:33
98.993835,2020-04-08 14:52:34
97.765575,2020-04-08 14:52:35
95.392047,2020-04-08 14:52:35
98.291182,2020-04-08 14:52:36
97.710248,2020-04-08 14:52:55
99.989721,2020-04-08 14:52:57
98.208191,2020-04-08 14:52:57
99.358993,2020-04-08 14:53:01
96.642437,2020-04-08 14:53:04
94.617469,2020-04-08 14:53:05
95.707411,2020-04-08 14:53:05
98.916377,2020-04-08 14:53:06
99.840338,2020-04-08 14:53:06
96.454325,2020-04-08 14:53:07
95.751673,2020-04-08 14:53:35
95.807,2020-04-08 14:53:38
95.801467,2020-04-08 14:53:39
96.011709,2020-04-08 14:53:42
96.17769,2020-04-08 14:53:44
95.757205,2020-04-08 14:53:45
95.807,2020-04-08 14:52:31
98.396303,2020-04-08 14:52:31
96.144494,2020-04-08 14:52:32
99.132152,2020-04-08 14:52:33
96.930138,2020-04-08 14:52:33
96.017242,2020-04-08 14:52:34
99.685422,2020-04-08 14:52:35
97.400417,2020-04-08 14:52:36
100.227627,2020-04-08 14:52:36
98.252453,2020-04-08 14:52:54
95.679747,2020-04-08 14:52:56
98.302247,2020-04-08 14:52:57
98.025612,2020-04-08 14:52:58
97.112717,2020-04-08 14:53:00
97.81537,2020-04-08 14:53:01
97.616192,2020-04-08 14:53:03
95.906588,2020-04-08 14:53:04
100.177833,2020-04-08 14:53:05
98.379705,2020-04-08 14:53:06
99.441983,2020-04-08 14:53:06
95.884457,2020-04-08 14:53:07
99.347928,2020-04-08 14:53:07
99.0049,2020-04-08 14:53:32
97.20124,2020-04-08 14:53:34
95.54143,2020-04-08 14:53:38
95.690813,2020-04-08 14:53:39
97.112717,2020-04-08 14:53:41
96.686699,2020-04-08 14:53:44
96.470924,2020-04-08 14:53:44
95.967448,2020-04-08 14:53:46
97.522137,2020-04-08 14:53:48
98.379705,2020-04-08 14:54:19
98.51249,2020-04-08 14:54:25
98.518023,2020-04-08 14:54:29
96.653503,2020-04-08 14:54:31
98.529088,2020-04-08 14:54:32
96.775222,2020-04-08 14:54:35
98.169462,2020-04-08 14:52:58
97.389352,2020-04-08 14:53:00
97.931556,2020-04-08 14:53:01
95.807,2020-04-08 14:53:04
99.259404,2020-04-08 14:53:05
98.058808,2020-04-08 14:53:05
95.790401,2020-04-08 14:53:07
99.928861,2020-04-08 14:53:19
99.818207,2020-04-08 14:53:28
99.486245,2020-04-08 14:53:32
97.975818,2020-04-08 14:53:34
95.834663,2020-04-08 14:53:35
98.412901,2020-04-08 14:53:38
96.714362,2020-04-08 14:53:38
95.768271,2020-04-08 14:53:39
96.780755,2020-04-08 14:53:44
97.992416,2020-04-08 14:53:44
95.657617,2020-04-08 14:53:45
96.73096,2020-04-08 14:53:48
121.191027,2020-04-08 14:54:06
98.645275,2020-04-08 14:54:18
98.667405,2020-04-08 14:54:25
97.937089,2020-04-08 14:54:29
97.826435,2020-04-08 14:54:30
97.538735,2020-04-08 14:54:31
98.849985,2020-04-08 14:54:32
98.501424,2020-04-08 14:54:36
98.329911,2020-04-08 14:54:36
97.61066,2020-04-08 14:54:38
97.217838,2020-04-08 14:54:38
118.546397,2020-04-08 14:55:06
99.801609,2020-04-08 14:55:14
99.674357,2020-04-08 14:55:17
98.59548,2020-04-08 14:55:19
96.321541,2020-04-08 14:55:32
96.653503,2020-04-08 14:55:34
97.522137,2020-04-08 14:53:03
95.309057,2020-04-08 14:53:05
98.59548,2020-04-08 14:53:06
99.41432,2020-04-08 14:53:06
95.701878,2020-04-08 14:53:07
99.61903,2020-04-08 14:53:07
96.526251,2020-04-08 14:53:32
96.100233,2020-04-08 14:53:35
95.757205,2020-04-08 14:53:39
95.679747,2020-04-08 14:53:40
96.603708,2020-04-08 14:53:41
96.780755,2020-04-08 14:53:44
96.310475,2020-04-08 14:53:45
98.51249,2020-04-08 14:53:49
98.977237,2020-04-08 14:53:52
100.238692,2020-04-08 14:53:56
99.724151,2020-04-08 14:54:21
99.392189,2020-04-08 14:54:25
98.130734,2020-04-08 14:54:29
96.902474,2020-04-08 14:54:31
97.361688,2020-04-08 14:54:35
98.069874,2020-04-08 14:54:36
98.147332,2020-04-08 14:54:39
100.139104,2020-04-08 14:54:47
99.713086,2020-04-08 14:54:50
99.314731,2020-04-08 14:55:14
98.51249,2020-04-08 14:55:17
99.170881,2020-04-08 14:55:19
97.107184,2020-04-08 14:55:32
96.659035,2020-04-08 14:55:34
97.737912,2020-04-08 14:55:35
97.594062,2020-04-08 14:55:38
97.372754,2020-04-08 14:55:40
96.078102,2020-04-08 14:55:40
96.199821,2020-04-08 14:55:42
99.917796,2020-04-08 14:56:19
98.518023,2020-04-08 14:56:24
122.275436,2020-04-08 14:53:06
95.807,2020-04-08 14:53:07
97.096119,2020-04-08 14:53:07
99.707553,2020-04-08 14:53:30
99.375591,2020-04-08 14:53:34
99.591366,2020-04-08 14:53:36
99.220675,2020-04-08 14:53:37
96.105765,2020-04-08 14:53:38
95.801467,2020-04-08 14:53:39
95.779336,2020-04-08 14:53:42
95.768271,2020-04-08 14:53:42
96.553914,2020-04-08 14:53:44
96.736493,2020-04-08 14:53:48
98.993835,2020-04-08 14:54:18
98.003481,2020-04-08 14:54:29
97.461277,2020-04-08 14:54:31
98.501424,2020-04-08 14:54:32
97.677052,2020-04-08 14:54:35
97.887295,2020-04-08 14:54:38
96.99653,2020-04-08 14:54:38
98.423967,2020-04-08 14:55:15
99.928861,2020-04-08 14:55:17
98.711667,2020-04-08 14:55:19
96.426662,2020-04-08 14:55:32
96.58711,2020-04-08 14:55:34
96.858213,2020-04-08 14:55:35
96.736493,2020-04-08 14:55:36
96.371335,2020-04-08 14:55:37
98.092005,2020-04-08 14:55:39
96.526251,2020-04-08 14:55:40
99.06576,2020-04-08 14:55:44
99.868001,2020-04-08 14:55:46
98.108603,2020-04-08 14:55:48
95.773803,2020-04-08 14:56:25
97.892827,2020-04-08 14:56:29
95.972981,2020-04-08 14:56:32
96.509652,2020-04-08 14:56:32
99.425385,2020-04-08 14:53:52
99.829272,2020-04-08 14:53:56
98.440565,2020-04-08 14:54:21
97.018661,2020-04-08 14:54:31
97.61066,2020-04-08 14:54:35
98.329911,2020-04-08 14:55:17
98.827854,2020-04-08 14:55:19
96.957801,2020-04-08 14:55:32
96.91354,2020-04-08 14:55:34
97.267632,2020-04-08 14:55:35
96.620306,2020-04-08 14:55:40
98.601013,2020-04-08 14:55:46
98.080939,2020-04-08 14:56:24
96.742026,2020-04-08 14:56:25
97.494473,2020-04-08 14:56:30
96.172158,2020-04-08 14:56:31
96.609241,2020-04-08 14:56:32
97.522137,2020-04-08 14:56:33
96.603708,2020-04-08 14:56:33
97.145913,2020-04-08 14:56:34
99.624563,2020-04-08 14:57:14
99.49731,2020-04-08 14:57:15
98.927442,2020-04-08 14:57:15
97.820902,2020-04-08 14:57:16
97.245502,2020-04-08 14:57:29
96.681166,2020-04-08 14:57:29
97.477875,2020-04-08 14:57:30
95.989579,2020-04-08 14:57:30
97.367221,2020-04-08 14:57:31
96.205354,2020-04-08 14:57:32
99.132152,2020-04-08 14:57:33
99.801609,2020-04-08 14:57:44
100.155702,2020-04-08 14:57:47
98.506957,2020-04-08 14:58:17
