date,ROWID,AmbientTemperature_C,Inverter_Temperature_C,PanelTemperature_C,GlobalTiltedIrradiance_wm2,GlobalHorizontalIrradiance_wm2,Power_kW,Voltage_volt,Current_amp
20/06/2020 22:45,6885,23.93255024,23.93255024,23.93255024,0,0,0,0,0
20/06/2020 22:50,6886,23.91286235,23.91286235,23.91286235,0,0,0,0,0
20/06/2020 22:55,6887,23.89317447,23.89317447,23.89317447,0,0,0,0,0
20/06/2020 23:00,6888,23.87348658,23.87348658,23.87348658,0,0,0,0,0
20/06/2020 23:05,6889,23.84653173,23.84653173,23.84653173,0,0,0,0,0
20/06/2020 23:10,6890,23.81957689,23.81957689,23.81957689,0,0,0,0,0
20/06/2020 23:15,6891,23.79262204,23.79262204,23.79262204,0,0,0,0,0
20/06/2020 23:20,6892,23.76566719,23.76566719,23.76566719,0,0,0,0,0
20/06/2020 23:25,6893,23.73871234,23.73871234,23.73871234,0,0,0,0,0
20/06/2020 23:30,6894,23.7117575,23.7117575,23.7117575,0,0,0,0,0
20/06/2020 23:35,6895,23.68480265,23.68480265,23.68480265,0,0,0,0,0
20/06/2020 23:40,6896,23.6578478,23.6578478,23.6578478,0,0,0,0,0
20/06/2020 23:45,6897,23.63089295,23.63089295,23.63089295,0,0,0,0,0
20/06/2020 23:50,6898,23.60393811,23.60393811,23.60393811,0,0,0,0,0
20/06/2020 23:55,6899,23.57698326,23.57698326,23.57698326,0,0,0,0,0
21/06/2020 00:00,6900,23.55002841,23.55002841,23.55002841,0,0,0,0,0
21/06/2020 00:05,6901,23.57163595,23.57163595,23.57163595,0,0,0,0,0
21/06/2020 00:10,6902,23.59324349,23.59324349,23.59324349,0,0,0,0,0
21/06/2020 00:15,6903,23.61485103,23.61485103,23.61485103,0,0,0,0,0
21/06/2020 00:20,6904,23.63645857,23.63645857,23.63645857,0,0,0,0,0
21/06/2020 00:25,6905,23.65806612,23.65806612,23.65806612,0,0,0,0,0
21/06/2020 00:30,6906,23.67967366,23.67967366,23.67967366,0,0,0,0,0
21/06/2020 00:35,6907,23.7012812,23.7012812,23.7012812,0,0,0,0,0
21/06/2020 00:40,6908,23.72288874,23.72288874,23.72288874,0,0,0,0,0
21/06/2020 00:45,6909,23.74449628,23.74449628,23.74449628,0,0,0,0,0
21/06/2020 00:50,6910,23.76610382,23.76610382,23.76610382,0,0,0,0,0
21/06/2020 00:55,6911,23.78771136,23.78771136,23.78771136,0,0,0,0,0
21/06/2020 01:00,6912,23.8093189,23.8093189,23.8093189,0,0,0,0,0
21/06/2020 01:05,6913,22.37117957,22.37117957,22.37117957,0,0,0,0,0
21/06/2020 01:10,6914,22.39654122,22.39654122,22.39654122,0,0,0,0,0
21/06/2020 01:15,6915,22.42190286,22.42190286,22.42190286,0,0,0,0,0
21/06/2020 01:20,6916,22.44726451,22.44726451,22.44726451,0,0,0,0,0
21/06/2020 01:25,6917,22.47262615,22.47262615,22.47262615,0,0,0,0,0
21/06/2020 01:30,6918,22.4979878,22.4979878,22.4979878,0,0,0,0,0
21/06/2020 01:35,6919,22.52334945,22.52334945,22.52334945,0,0,0,0,0
