deviceid,floatvalue_saliencyscore,floatvalue_kmeansscore,floatvalue_FFTScore,floatvalue_spectralScore,floatvalue_GenScore,floatvalue,timestamp
CakebreadId_0128,692.8116329837198,629.3152306137122,614.0119974073234,42.286627652615216,1.5770942944361523,39,01/31/2020 02:20,
CakebreadId_0128,653.9261503157915,637.1476715208839,512.5333498891532,43.46086307253703,1.475165669869892,40,01/31/2020 02:21,
CakebreadId_0128,577.3187248703225,663.0089261439061,443.8705302553674,45.101497738187426,1.606453006851914,46,01/31/2020 02:21,
CakebreadId_0128,524.9651003179698,562.6738658085965,378.30171993150475,42.255721332335945,1.4763157005758467,41,01/31/2020 02:23,
CakebreadId_0128,647.4681081627714,593.7863836396645,586.5755973756643,34.997674164446366,2.41632467919093,42,01/31/2020 02:23,
CakebreadId_0128,672.3671133948583,701.7797118748019,761.7848454107244,28.386497954470673,2.247612099708143,39,01/31/2020 02:23,
CakebreadId_0128,712.8916158473234,736.8706911037223,770.647317564342,26.59361422075256,2.028865224497628,38,01/31/2020 02:23,
CakebreadId_0128,734.5168586265394,743.171328587157,701.0338992135938,29.143906238878856,2.0425128399399264,39,01/31/2020 02:24,
CakebreadId_0128,692.8228044726361,725.7679066516761,634.9895742937298,32.87297324960972,2.1832604168019936,46,01/31/2020 02:24,
CakebreadId_0128,594.7108669595301,703.0106302550271,562.9909799163415,36.77627771655554,2.0198648152878653,39,01/31/2020 02:26,
CakebreadId_0128,585.6324301550076,617.3237358931709,602.8656450080393,42.200698957656215,2.268721648596681,37,01/31/2020 02:26,
CakebreadId_0128,609.1435039764132,670.9831164139125,777.6957662812795,48.67109912997294,2.52630987151849,43,01/31/2020 02:27,
CakebreadId_0128,675.9004892151476,699.8465783483606,844.8509335374468,52.674992110651054,2.539426565465467,45,01/31/2020 02:27,
CakebreadId_0128,880.0546478353147,764.4296723919117,940.996280970961,51.474764274333666,3.009464186814178,46,01/31/2020 02:27,
CakebreadId_0128,899.153379408473,772.4993582256326,1038.904987528922,46.93257291619186,3.1273022231720065,39,01/31/2020 02:29,
CakebreadId_0128,888.3456658649643,782.9948188225267,860.7316118843855,43.72559621703987,2.7702433119910737,37,01/31/2020 02:29,
CakebreadId_0128,845.9774131008327,745.7135464026732,827.1131382524387,44.42087860929881,2.700550883690064,42,01/31/2020 02:29,
CakebreadId_0128,814.9325466260852,663.7189717058689,830.0088050307801,47.21477523915508,2.703087424172555,47,01/31/2020 02:30,
