SPEED,TEMPERATURE,HEAD,DEVICE_ID,PUMP_MODE,FLOW,WARN,KW_HOUR,VOLTAGE,ALARM,POWER,CURRENT,TIMESTAMP,DEVICETYPE,DEVICEID,LOGICALINTERFACE_ID,EVENTTYPE,FORMAT,RCV_TIMESTAMP_UTC,UPDATED_UTC
1059,52.5,48.91,04714B601096,a,37.607,0,3633.381,253,0,1.726,7.38,3162348872,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,11:28.8,11:28.8
1064,53,49.379,04714B601096,a,49.366,0,3633.529,254,0,1.824,7.53,3162349172,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,16:29.0,16:29.0
1068,52.9,49.746,04714B601096,a,56.073,0,3633.687,256,0,1.904,7.64,3162349472,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,21:29.2,21:29.2
1062,52.8,49.193,04714B601096,a,44.088,0,3633.838,254,0,1.792,7.45,3162349773,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,26:29.4,26:29.4
1060,52.6,49.004,04714B601096,a,39.358,0,3633.986,253,0,1.742,7.43,3162350073,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,31:29.7,31:29.7
1059,52.5,48.905,04714B601096,a,34.866,0,3634.133,253,0,1.702,7.42,3162350373,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,36:29.9,36:29.9
1058,52.5,48.766,04714B601096,a,34.111,0,3634.273,252,0,1.71,7.34,3162350673,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,41:30.0,41:30.0
1061,52.5,49.099,04714B601096,a,41.617,0,3634.419,253,0,1.768,7.43,3162350973,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,46:30.3,46:30.3
1064,52.5,49.379,04714B601096,a,47.238,0,3634.567,254,0,1.82,7.55,3162351274,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,51:30.5,51:30.5
1067,52.5,49.654,04714B601096,a,54.827,0,3634.721,255,0,1.89,7.6,3162351574,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,56:30.7,56:30.7
1071,52.5,50.018,04714B601096,a,61.296,0,3634.877,257,0,1.948,7.72,3162351874,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,01:30.9,01:30.9
1066,52.3,49.563,04714B601096,a,52.917,0,3635.036,255,0,1.864,7.59,3162352174,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,06:31.2,06:31.2
